客户ID,年龄,性别,购买商品,商品类别,消费金额(美元),所在州,尺码,颜色,季节,评分,是否订阅,配送方式,是否使用折扣,是否使用优惠码,历史购买次数,支付方式,购买频率
1945,30,男,卫衣,服装,45,Arkansas,M,金色,冬,2.7,否,包邮,否,No,49,现金,每三个月
1946,35,男,卫衣,服装,38,Georgia,M,金色,冬,2.9,否,两日达,否,No,9,信用卡,每三个月
1947,59,男,长裤,服装,49,Louisiana,M,白色,夏,4.5,否,标准快递,否,No,41,信用卡,每季
1948,59,男,衬衫,服装,32,New York,M,灰色,夏,2.6,否,门店自提,否,No,2,PayPal,每月
1949,54,男,T恤,服装,37,Connecticut,L,棕色,冬,3.1,否,次日达,否,No,39,PayPal,双周
1950,63,男,连衣裙,服装,80,Nebraska,L,灰色,冬,4.7,否,门店自提,否,No,12,PayPal,每季
1951,43,男,双肩包,配饰,78,Arkansas,L,蓝色,夏,4.6,否,包邮,否,No,26,PayPal,每三个月
1952,33,男,手套,配饰,53,Connecticut,L,金色,夏,2.7,否,次日达,否,No,32,银行转账,双周
1953,57,男,鞋子,鞋履,82,Maryland,L,黄色,夏,4.6,否,两日达,否,No,50,现金,双周
1954,25,男,半身裙,服装,33,Colorado,XL,绿色,春,4.8,否,标准快递,否,No,3,PayPal,每两周
1955,26,男,手套,配饰,77,Colorado,M,粉色,冬,4.2,否,包邮,否,No,3,Venmo,每季
1956,50,男,卫衣,服装,56,Maine,M,粉色,冬,4.9,否,快递,否,No,37,现金,每月
1957,70,男,袜子,服装,37,Oklahoma,M,粉色,冬,4.9,否,快递,否,No,20,信用卡,每两周
1958,68,男,手套,配饰,54,South Carolina,M,青色,春,4.5,否,门店自提,否,No,26,现金,双周
1959,39,男,短裤,服装,67,Nevada,M,灰色,冬,2.7,否,门店自提,否,No,47,现金,每季
1960,46,男,鞋子,鞋履,90,Colorado,M,白色,秋,3.1,否,门店自提,否,No,7,信用卡,每三个月
1961,57,男,牛仔裤,服装,72,Massachusetts,L,红色,夏,3.3,否,两日达,否,No,40,信用卡,每年
1962,47,男,靴子,鞋履,59,Nevada,L,黑色,夏,2.6,否,包邮,否,No,45,借记卡,每季
1963,40,男,帽子,配饰,45,Iowa,M,银色,秋,4.4,否,标准快递,否,No,20,PayPal,每两周
1964,52,男,短裤,服装,30,Michigan,L,粉色,春,3.9,否,标准快递,否,No,11,信用卡,每周
1965,40,男,长裤,服装,51,West Virginia,S,青色,夏,4.6,否,快递,否,No,50,借记卡,每月
1966,67,男,毛衣,服装,90,Indiana,M,白色,秋,4.9,否,快递,否,No,25,借记卡,每季
1967,67,男,夹克,外套,95,Indiana,XL,紫色,冬,3.7,否,快递,否,No,5,信用卡,每两周
1968,37,男,连衣裙,服装,81,Georgia,L,黄色,秋,3.7,否,标准快递,否,No,4,Venmo,每年
1969,67,男,衬衫,服装,70,Minnesota,S,蓝色,春,4.2,否,标准快递,否,No,25,信用卡,每周
1970,64,男,连衣裙,服装,32,Louisiana,S,青色,冬,3.5,否,次日达,否,No,11,银行转账,每两周
1971,28,男,腰带,配饰,94,Maryland,M,靛蓝色,春,2.9,否,次日达,否,No,4,信用卡,双周
1972,54,男,帽子,配饰,29,Pennsylvania,XL,靛蓝色,春,3.4,否,次日达,否,No,1,Venmo,每月
1973,54,男,双肩包,配饰,31,Louisiana,M,银色,夏,3.3,否,快递,否,No,48,PayPal,每三个月
1974,24,男,半身裙,服装,20,Maryland,XL,红色,秋,4.5,否,标准快递,否,No,9,Venmo,每三个月
1975,27,男,手套,配饰,44,Tennessee,M,桃色,冬,4.6,否,两日达,否,No,2,PayPal,每两周
1976,53,男,夹克,外套,77,Illinois,L,绿松石色,秋,2.9,否,快递,否,No,4,现金,每季
1977,32,男,手提包,配饰,51,Wyoming,M,粉色,春,3.2,否,次日达,否,No,43,PayPal,每两周
1978,24,男,凉鞋,鞋履,49,Florida,M,青绿色,夏,2.6,否,包邮,否,No,32,银行转账,每年
1979,45,男,太阳镜,配饰,78,Massachusetts,L,品红色,春,3.8,否,门店自提,否,No,1,现金,每季
1980,49,男,牛仔裤,服装,98,Tennessee,L,蓝色,春,2.8,否,门店自提,否,No,38,借记卡,每两周
1981,51,男,凉鞋,鞋履,94,Iowa,M,绿色,冬,4.4,否,门店自提,否,No,25,PayPal,每两周
1982,69,男,鞋子,鞋履,91,Michigan,L,紫罗兰色,夏,4.7,否,快递,否,No,42,PayPal,每季
1983,41,男,太阳镜,配饰,77,Kansas,M,绿松石色,夏,2.7,否,两日达,否,No,32,PayPal,每月
1984,59,男,围巾,配饰,97,Georgia,M,粉色,夏,2.6,否,次日达,否,No,21,借记卡,每季
1985,26,男,半身裙,服装,58,West Virginia,M,黑色,夏,3.4,否,两日达,否,No,26,PayPal,每两周
1986,23,男,手套,配饰,97,Tennessee,M,金色,春,3.9,否,两日达,否,No,6,信用卡,每两周
1987,62,男,大衣,外套,48,Arkansas,L,绿色,夏,3.4,否,两日达,否,No,14,Venmo,每季
1988,69,男,腰带,配饰,23,Vermont,XL,白色,夏,3.4,否,快递,否,No,4,现金,每季
1989,46,男,长裤,服装,79,Virginia,M,金色,冬,3.9,否,包邮,否,No,26,银行转账,每周
1990,35,男,首饰,配饰,42,Maryland,S,炭灰色,春,4.0,否,快递,否,No,39,PayPal,双周
1991,32,男,双肩包,配饰,95,Connecticut,L,白色,春,3.4,否,两日达,否,No,15,PayPal,每年
1992,46,男,运动鞋,鞋履,29,Missouri,M,棕色,夏,3.7,否,次日达,否,No,1,Venmo,每三个月
1993,33,男,卫衣,服装,98,New Jersey,L,金色,冬,4.9,否,两日达,否,No,28,Venmo,每月
1994,32,男,女式衬衫,服装,96,Arkansas,S,紫色,春,5.0,否,快递,否,No,17,现金,每周
1995,33,男,太阳镜,配饰,66,Nevada,M,棕色,秋,2.9,否,次日达,否,No,24,信用卡,每周
1996,67,男,靴子,鞋履,80,Missouri,S,青绿色,春,3.0,否,标准快递,否,No,29,借记卡,每季
1997,67,男,运动鞋,鞋履,27,South Dakota,L,靛蓝色,夏,3.3,否,次日达,否,No,18,现金,每三个月
1998,42,男,双肩包,配饰,25,Connecticut,M,紫色,秋,4.7,否,快递,否,No,10,借记卡,双周
1999,20,男,长裤,服装,45,Vermont,M,橙色,秋,3.4,否,两日达,否,No,19,现金,每季
2000,39,男,袜子,服装,89,Tennessee,L,靛蓝色,冬,4.6,否,两日达,否,No,26,借记卡,每月
2001,26,男,腰带,配饰,27,California,M,薰衣草紫,冬,3.6,否,两日达,否,No,25,现金,双周
2002,51,男,太阳镜,配饰,90,Wyoming,S,紫色,冬,2.6,否,包邮,否,No,2,借记卡,每两周
2003,31,男,衬衫,服装,65,New York,M,红色,夏,2.7,否,快递,否,No,19,PayPal,每三个月
2004,68,男,运动鞋,鞋履,72,Maine,S,蓝色,春,3.1,否,快递,否,No,32,现金,每季
2005,44,男,鞋子,鞋履,70,Georgia,L,蓝色,秋,3.2,否,两日达,否,No,13,现金,双周
2006,18,男,凉鞋,鞋履,82,Tennessee,M,青色,冬,3.4,否,门店自提,否,No,30,PayPal,每两周
2007,58,男,围巾,配饰,97,New Mexico,S,粉色,秋,4.4,否,快递,否,No,2,信用卡,每年
2008,26,男,衬衫,服装,25,Virginia,M,银色,夏,3.2,否,两日达,否,No,8,PayPal,每季
2009,57,男,半身裙,服装,48,Florida,M,灰色,春,2.5,否,包邮,否,No,27,PayPal,每三个月
2010,37,男,靴子,鞋履,99,Alabama,M,靛蓝色,夏,3.8,否,次日达,否,No,26,Venmo,双周
2011,24,男,毛衣,服装,21,Texas,M,栗色,夏,4.4,否,两日达,否,No,3,借记卡,双周
2012,57,男,凉鞋,鞋履,94,West Virginia,M,米色,春,3.7,否,快递,否,No,4,银行转账,每月
2013,48,男,牛仔裤,服装,53,Nevada,L,绿色,秋,3.2,否,门店自提,否,No,5,现金,每两周
2014,39,男,双肩包,配饰,70,Virginia,M,桃色,冬,4.9,否,标准快递,否,No,25,借记卡,每季
2015,51,男,半身裙,服装,26,Wisconsin,L,黑色,夏,3.9,否,标准快递,否,No,47,PayPal,双周
2016,57,男,腰带,配饰,82,Virginia,S,粉色,夏,4.5,否,次日达,否,No,8,信用卡,每两周
2017,53,男,鞋子,鞋履,47,Maine,S,紫罗兰色,冬,3.4,否,标准快递,否,No,20,借记卡,每两周
2018,70,男,袜子,服装,32,Massachusetts,S,绿色,冬,4.1,否,次日达,否,No,42,银行转账,每三个月
2019,60,男,双肩包,配饰,97,Arkansas,S,金色,秋,4.5,否,门店自提,否,No,20,银行转账,每周
2020,31,男,衬衫,服装,68,Idaho,S,红色,冬,4.7,否,门店自提,否,No,23,现金,每两周
2021,41,男,毛衣,服装,23,Pennsylvania,M,米色,冬,4.8,否,次日达,否,No,26,现金,每季
2022,62,男,手提包,配饰,33,Maine,M,绿色,冬,4.4,否,标准快递,否,No,48,Venmo,每季
2023,59,男,首饰,配饰,38,Alabama,S,黑色,冬,4.0,否,门店自提,否,No,16,现金,双周
2024,46,男,袜子,服装,68,Idaho,S,青绿色,冬,4.1,否,门店自提,否,No,28,现金,双周
2025,62,男,袜子,服装,23,Arkansas,L,银色,秋,3.7,否,快递,否,No,39,PayPal,每周
2026,42,男,衬衫,服装,29,Delaware,M,绿松石色,夏,3.0,否,快递,否,No,43,借记卡,每两周
2027,37,男,围巾,配饰,35,Maine,M,橙色,冬,3.6,否,快递,否,No,45,银行转账,每三个月
2028,50,男,鞋子,鞋履,73,Nebraska,S,金色,秋,4.8,否,标准快递,否,No,50,信用卡,每三个月
2029,29,男,鞋子,鞋履,84,Ohio,XL,紫色,秋,3.7,否,两日达,否,No,10,Venmo,双周
2030,25,男,围巾,配饰,23,Montana,M,粉色,春,4.6,否,次日达,否,No,40,PayPal,每季
2031,66,男,太阳镜,配饰,67,New Mexico,S,绿色,夏,2.8,否,标准快递,否,No,38,信用卡,每月
2032,21,男,袜子,服装,51,North Carolina,L,炭灰色,春,4.0,否,标准快递,否,No,2,信用卡,每月
2033,46,男,女式衬衫,服装,36,South Carolina,M,栗色,冬,4.2,否,次日达,否,No,13,现金,每年
2034,57,男,牛仔裤,服装,55,Illinois,L,橄榄绿,夏,3.6,否,快递,否,No,33,Venmo,每年
2035,61,男,短裤,服装,30,Alabama,M,桃色,春,2.9,否,门店自提,否,No,27,PayPal,每月
2036,53,男,T恤,服装,70,Oklahoma,S,黄色,夏,4.1,否,快递,否,No,43,银行转账,每周
2037,37,男,女式衬衫,服装,63,Minnesota,S,薰衣草紫,冬,3.1,否,次日达,否,No,46,现金,每周
2038,39,男,腰带,配饰,87,Illinois,S,绿色,夏,4.3,否,快递,否,No,7,Venmo,双周
2039,53,男,女式衬衫,服装,70,Arkansas,L,橙色,春,4.4,否,次日达,否,No,35,信用卡,每两周
2040,35,男,T恤,服装,51,Minnesota,M,橄榄绿,春,3.1,否,次日达,否,No,31,借记卡,双周
2041,69,男,首饰,配饰,25,South Carolina,XL,灰色,春,2.9,否,包邮,否,No,42,Venmo,每季
2042,66,男,夹克,外套,32,New York,S,薰衣草紫,冬,3.2,否,次日达,否,No,14,PayPal,双周
2043,19,男,鞋子,鞋履,52,Alabama,M,红色,春,4.0,否,两日达,否,No,35,Venmo,每月
2044,47,男,手套,配饰,33,New York,M,炭灰色,夏,2.7,否,标准快递,否,No,49,PayPal,每周
2045,49,男,牛仔裤,服装,68,Missouri,L,橙色,春,3.0,否,包邮,否,No,17,PayPal,每两周
2046,31,男,首饰,配饰,20,Georgia,M,红色,秋,4.4,否,快递,否,No,26,PayPal,每季
2047,39,男,长裤,服装,32,Oklahoma,M,栗色,冬,2.8,否,包邮,否,No,30,现金,每三个月
2048,58,男,首饰,配饰,82,Connecticut,M,银色,夏,3.1,否,门店自提,否,No,32,现金,每年
2049,45,男,运动鞋,鞋履,64,Michigan,XL,粉色,冬,3.9,否,快递,否,No,35,银行转账,每季
2050,68,男,靴子,鞋履,24,Rhode Island,L,蓝色,秋,2.7,否,标准快递,否,No,15,Venmo,每年
2051,35,男,帽子,配饰,96,Mississippi,M,青绿色,夏,3.4,否,门店自提,否,No,10,借记卡,每年
2052,65,男,T恤,服装,94,Massachusetts,L,黑色,春,3.8,否,包邮,否,No,14,信用卡,每月
2053,45,男,双肩包,配饰,48,New Hampshire,M,灰色,冬,3.7,否,两日达,否,No,30,银行转账,每年
2054,19,男,太阳镜,配饰,60,Wyoming,S,紫色,春,4.5,否,两日达,否,No,16,信用卡,每两周
2055,65,男,毛衣,服装,56,New Jersey,XL,金色,春,2.9,否,快递,否,No,14,PayPal,每年
2056,28,男,手提包,配饰,33,Texas,M,银色,秋,3.4,否,两日达,否,No,28,银行转账,每周
2057,55,男,双肩包,配饰,46,Minnesota,L,蓝色,春,4.4,否,两日达,否,No,29,PayPal,每月
2058,66,男,袜子,服装,37,South Dakota,L,黄色,春,4.2,否,标准快递,否,No,5,PayPal,每三个月
2059,29,男,衬衫,服装,98,Washington,M,棕色,冬,3.3,否,门店自提,否,No,17,银行转账,每季
2060,56,男,短裤,服装,50,California,XL,米色,春,3.7,否,快递,否,No,50,PayPal,每周
2061,21,男,腰带,配饰,63,Wisconsin,M,蓝色,秋,3.2,否,次日达,否,No,23,银行转账,每季
2062,32,男,毛衣,服装,70,Michigan,S,品红色,夏,2.6,否,门店自提,否,No,22,借记卡,每年
2063,54,男,大衣,外套,63,South Carolina,L,银色,秋,2.8,否,标准快递,否,No,15,现金,每季
2064,61,男,短裤,服装,86,Indiana,M,青色,秋,2.9,否,标准快递,否,No,32,现金,每月
2065,31,男,鞋子,鞋履,99,Arkansas,M,绿色,夏,4.0,否,两日达,否,No,5,银行转账,每月
2066,27,男,运动鞋,鞋履,40,Oregon,M,蓝色,春,2.9,否,包邮,否,No,6,银行转账,双周
2067,64,男,运动鞋,鞋履,92,Illinois,M,橄榄绿,秋,4.7,否,门店自提,否,No,44,借记卡,每两周
2068,60,男,长裤,服装,21,Maryland,XL,米色,秋,3.1,否,两日达,否,No,23,现金,每两周
2069,70,男,首饰,配饰,81,Vermont,XL,黑色,夏,3.9,否,门店自提,否,No,44,Venmo,每月
2070,36,男,T恤,服装,82,Texas,M,靛蓝色,秋,3.4,否,包邮,否,No,3,借记卡,每季
2071,56,男,首饰,配饰,88,Nebraska,XL,红色,春,3.1,否,快递,否,No,14,现金,每月
2072,69,男,夹克,外套,100,South Carolina,S,黄色,秋,4.8,否,门店自提,否,No,37,PayPal,每季
2073,39,男,双肩包,配饰,66,Massachusetts,M,米色,冬,3.9,否,次日达,否,No,22,银行转账,每周
2074,38,男,腰带,配饰,25,Texas,S,绿色,冬,3.5,否,次日达,否,No,2,PayPal,每三个月
2075,36,男,围巾,配饰,53,Florida,M,白色,夏,3.1,否,包邮,否,No,44,借记卡,每两周
2076,46,男,毛衣,服装,28,South Carolina,S,绿松石色,秋,4.7,否,快递,否,No,49,借记卡,每月
2077,59,男,手套,配饰,23,Florida,S,靛蓝色,秋,4.6,否,包邮,否,No,22,借记卡,双周
2078,64,男,围巾,配饰,34,Nebraska,L,橙色,秋,3.3,否,包邮,否,No,26,银行转账,每年
2079,49,男,连衣裙,服装,42,Hawaii,M,蓝色,春,3.2,否,次日达,否,No,40,借记卡,每周
2080,32,男,牛仔裤,服装,24,Montana,L,紫罗兰色,夏,3.1,否,次日达,否,No,16,PayPal,每季
2081,29,男,太阳镜,配饰,47,South Dakota,S,灰色,秋,3.5,否,包邮,否,No,17,借记卡,双周
2082,24,男,大衣,外套,78,Alabama,S,青色,春,4.3,否,标准快递,否,No,48,银行转账,双周
2083,41,男,牛仔裤,服装,89,Arkansas,M,黄色,夏,2.9,否,包邮,否,No,28,Venmo,每三个月
2084,41,男,围巾,配饰,59,Mississippi,L,橙色,秋,2.7,否,门店自提,否,No,26,信用卡,每两周
2085,32,男,女式衬衫,服装,94,Vermont,S,棕色,夏,4.0,否,标准快递,否,No,43,银行转账,每季
2086,69,男,牛仔裤,服装,49,New York,M,青绿色,秋,4.6,否,包邮,否,No,38,借记卡,每周
2087,65,男,连衣裙,服装,89,North Dakota,L,米色,夏,4.7,否,两日达,否,No,36,现金,每三个月
2088,54,男,帽子,配饰,91,Wisconsin,M,蓝色,夏,4.7,否,标准快递,否,No,1,信用卡,每周
2089,39,男,凉鞋,鞋履,89,California,L,橙色,春,4.0,否,标准快递,否,No,49,借记卡,每年
2090,37,男,夹克,外套,57,Maryland,L,金色,春,3.6,否,包邮,否,No,41,信用卡,每三个月
2091,51,男,袜子,服装,71,Massachusetts,S,青绿色,冬,3.4,否,包邮,否,No,21,借记卡,每月
2092,26,男,牛仔裤,服装,97,Washington,XL,米色,秋,3.0,否,次日达,否,No,24,银行转账,每季
2093,42,男,凉鞋,鞋履,45,Minnesota,M,银色,秋,2.6,否,次日达,否,No,27,银行转账,每周
2094,21,男,连衣裙,服装,91,Washington,M,栗色,春,4.2,否,门店自提,否,No,4,借记卡,每年
2095,53,男,袜子,服装,25,South Carolina,M,靛蓝色,春,3.4,否,标准快递,否,No,19,Venmo,每年
2096,36,男,卫衣,服装,63,New Mexico,M,灰色,秋,4.0,否,门店自提,否,No,1,银行转账,每两周
2097,21,男,连衣裙,服装,52,North Carolina,L,蓝色,夏,4.7,否,包邮,否,No,27,借记卡,每年
2098,33,男,运动鞋,鞋履,43,Iowa,S,青色,冬,3.9,否,次日达,否,No,5,信用卡,每周
2099,49,男,T恤,服装,28,Louisiana,M,白色,夏,3.3,否,两日达,否,No,20,Venmo,每季
2100,31,男,T恤,服装,78,Oklahoma,L,绿色,夏,2.9,否,快递,否,No,50,PayPal,每年
2101,68,男,毛衣,服装,31,Michigan,M,银色,春,4.4,否,包邮,否,No,36,现金,每两周
2102,49,男,衬衫,服装,23,Oregon,M,蓝色,冬,3.6,否,次日达,否,No,12,银行转账,双周
2103,23,男,帽子,配饰,25,Idaho,M,棕色,春,4.5,否,门店自提,否,No,23,现金,每月
2104,30,男,长裤,服装,86,Indiana,S,红色,夏,3.7,否,门店自提,否,No,21,Venmo,每周
2105,53,男,鞋子,鞋履,88,New Mexico,M,金色,春,2.8,否,包邮,否,No,47,Venmo,每周
2106,65,男,手套,配饰,35,South Carolina,M,银色,春,4.5,否,包邮,否,No,38,Venmo,双周
2107,60,男,首饰,配饰,34,Vermont,M,灰色,秋,4.4,否,标准快递,否,No,40,信用卡,每三个月
2108,46,男,长裤,服装,75,Delaware,M,黑色,冬,3.3,否,标准快递,否,No,35,PayPal,每季
2109,54,男,卫衣,服装,46,North Dakota,XL,米色,冬,4.2,否,快递,否,No,4,信用卡,每季
2110,59,男,首饰,配饰,31,California,L,桃色,秋,2.7,否,包邮,否,No,28,Venmo,每三个月
2111,52,男,袜子,服装,93,Montana,L,青色,春,3.9,否,门店自提,否,No,36,借记卡,每三个月
2112,41,男,太阳镜,配饰,85,Missouri,XL,粉色,春,2.6,否,包邮,否,No,15,银行转账,每年
2113,43,男,腰带,配饰,68,Tennessee,M,薰衣草紫,秋,4.5,否,两日达,否,No,7,现金,每两周
2114,63,男,连衣裙,服装,40,Virginia,M,棕色,春,2.7,否,门店自提,否,No,29,PayPal,每三个月
2115,37,男,衬衫,服装,51,Vermont,M,品红色,冬,2.9,否,标准快递,否,No,12,借记卡,每年
2116,44,男,围巾,配饰,85,Rhode Island,M,紫罗兰色,冬,3.4,否,门店自提,否,No,16,银行转账,双周
2117,67,男,夹克,外套,23,Kansas,M,青绿色,夏,2.9,否,快递,否,No,50,借记卡,双周
2118,27,男,连衣裙,服装,28,Colorado,L,棕色,夏,3.8,否,包邮,否,No,11,借记卡,每年
2119,60,男,袜子,服装,44,Georgia,M,橄榄绿,秋,4.2,否,两日达,否,No,28,借记卡,每季
2120,58,男,首饰,配饰,57,Nebraska,M,靛蓝色,春,3.5,否,门店自提,否,No,36,Venmo,双周
2121,53,男,围巾,配饰,98,Missouri,S,红色,秋,3.1,否,次日达,否,No,38,PayPal,每季
2122,43,男,双肩包,配饰,68,Alaska,M,橄榄绿,冬,3.5,否,两日达,否,No,32,银行转账,每月
2123,32,男,夹克,外套,36,Virginia,L,青绿色,秋,4.0,否,快递,否,No,42,借记卡,每周
2124,54,男,大衣,外套,71,Nebraska,L,青色,春,3.7,否,快递,否,No,22,借记卡,双周
2125,47,男,半身裙,服装,60,Rhode Island,M,青绿色,秋,4.2,否,次日达,否,No,22,Venmo,每季
2126,57,男,大衣,外套,87,New Hampshire,M,米色,秋,4.8,否,门店自提,否,No,31,PayPal,每季
2127,63,男,鞋子,鞋履,38,Alabama,XL,品红色,冬,4.1,否,快递,否,No,28,信用卡,每月
2128,70,男,靴子,鞋履,45,North Carolina,M,靛蓝色,春,4.5,否,两日达,否,No,40,借记卡,每周
2129,62,男,大衣,外套,47,New Mexico,L,青色,秋,2.7,否,两日达,否,No,21,PayPal,每周
2130,40,男,半身裙,服装,57,Minnesota,L,橙色,秋,2.8,否,门店自提,否,No,12,PayPal,每三个月
2131,25,男,双肩包,配饰,68,Arizona,L,紫罗兰色,夏,3.7,否,包邮,否,No,33,信用卡,每年
2132,19,男,短裤,服装,52,Montana,M,红色,秋,3.6,否,快递,否,No,9,银行转账,每两周
2133,25,男,半身裙,服装,87,Vermont,M,品红色,秋,4.7,否,两日达,否,No,15,借记卡,每周
2134,21,男,帽子,配饰,34,Maine,M,橄榄绿,夏,3.8,否,标准快递,否,No,13,银行转账,每年
2135,55,男,凉鞋,鞋履,41,Virginia,XL,栗色,冬,2.9,否,标准快递,否,No,35,信用卡,每两周
2136,34,男,太阳镜,配饰,94,California,S,黄色,冬,4.6,否,次日达,否,No,1,借记卡,每三个月
2137,47,男,太阳镜,配饰,93,New York,M,红色,夏,2.8,否,标准快递,否,No,25,银行转账,每两周
2138,27,男,袜子,服装,51,Indiana,XL,紫色,冬,4.6,否,两日达,否,No,20,信用卡,每三个月
2139,67,男,毛衣,服装,42,Mississippi,M,青绿色,秋,2.8,否,次日达,否,No,36,Venmo,每季
2140,40,男,靴子,鞋履,95,New York,M,红色,冬,3.0,否,包邮,否,No,33,现金,每周
2141,53,男,手提包,配饰,90,New Mexico,M,棕色,秋,3.7,否,标准快递,否,No,36,现金,每两周
2142,24,男,连衣裙,服装,98,Kentucky,M,桃色,冬,4.1,否,两日达,否,No,32,PayPal,每年
2143,47,男,帽子,配饰,39,North Dakota,M,栗色,冬,4.3,否,次日达,否,No,21,Venmo,每季
2144,53,男,凉鞋,鞋履,66,Arkansas,L,红色,秋,3.8,否,次日达,否,No,48,Venmo,双周
2145,47,男,鞋子,鞋履,23,Maryland,L,橙色,冬,3.7,否,包邮,否,No,25,PayPal,每季
2146,38,男,半身裙,服装,73,Connecticut,S,白色,冬,4.8,否,标准快递,否,No,32,PayPal,每年
2147,48,男,太阳镜,配饰,23,Utah,XL,白色,夏,4.6,否,标准快递,否,No,45,PayPal,每三个月
2148,47,男,半身裙,服装,43,Missouri,S,炭灰色,秋,4.8,否,标准快递,否,No,4,现金,每两周
2149,19,男,T恤,服装,45,Nebraska,XL,绿松石色,冬,4.6,否,两日达,否,No,19,PayPal,双周
2150,38,男,凉鞋,鞋履,21,Hawaii,L,橙色,冬,4.0,否,标准快递,否,No,1,银行转账,每周
2151,57,男,衬衫,服装,40,Illinois,M,橙色,春,2.6,否,两日达,否,No,12,现金,每周
2152,70,男,牛仔裤,服装,58,Vermont,L,棕色,秋,2.6,否,两日达,否,No,18,Venmo,每月
2153,38,男,短裤,服装,48,New Jersey,L,品红色,夏,4.5,否,次日达,否,No,43,银行转账,双周
2154,35,男,衬衫,服装,94,Kentucky,M,紫罗兰色,秋,4.2,否,包邮,否,No,31,PayPal,每年
2155,46,男,围巾,配饰,74,Wyoming,M,紫罗兰色,春,3.4,否,门店自提,否,No,33,现金,每三个月
2156,32,男,手提包,配饰,51,Hawaii,L,黄色,秋,3.7,否,门店自提,否,No,46,PayPal,每月
2157,38,男,半身裙,服装,83,Missouri,M,栗色,冬,3.6,否,次日达,否,No,41,借记卡,双周
2158,41,男,手提包,配饰,68,Mississippi,L,绿松石色,冬,4.0,否,次日达,否,No,41,Venmo,每两周
2159,19,男,手套,配饰,84,Massachusetts,XL,橄榄绿,春,4.6,否,标准快递,否,No,9,银行转账,每两周
2160,18,男,衬衫,服装,58,Louisiana,M,桃色,秋,3.0,否,包邮,否,No,34,现金,每年
2161,45,男,女式衬衫,服装,92,West Virginia,L,炭灰色,冬,3.3,否,快递,否,No,21,PayPal,每年
2162,23,男,连衣裙,服装,69,Washington,S,桃色,夏,3.8,否,快递,否,No,5,借记卡,每两周
2163,60,男,短裤,服装,48,Oregon,S,黑色,夏,2.7,否,包邮,否,No,32,PayPal,每周
2164,52,男,鞋子,鞋履,60,New York,L,灰色,春,4.5,否,快递,否,No,44,银行转账,每月
2165,42,男,凉鞋,鞋履,20,Iowa,S,橄榄绿,冬,4.8,否,次日达,否,No,46,PayPal,双周
2166,29,男,长裤,服装,55,Idaho,M,绿松石色,夏,4.2,否,快递,否,No,42,信用卡,每三个月
2167,31,男,夹克,外套,88,New Jersey,S,紫色,春,3.5,否,快递,否,No,50,信用卡,双周
2168,30,男,半身裙,服装,48,Ohio,L,绿色,冬,4.9,否,标准快递,否,No,33,Venmo,每两周
2169,23,男,手提包,配饰,74,Connecticut,M,米色,春,4.1,否,次日达,否,No,32,现金,每季
2170,31,男,大衣,外套,42,Florida,M,棕色,秋,2.9,否,次日达,否,No,32,银行转账,双周
2171,40,男,毛衣,服装,32,South Carolina,M,绿松石色,秋,4.0,否,次日达,否,No,37,Venmo,每三个月
2172,39,男,短裤,服装,98,Missouri,M,黄色,夏,4.6,否,门店自提,否,No,9,现金,每两周
2173,28,男,半身裙,服装,89,Rhode Island,S,薰衣草紫,秋,2.8,否,门店自提,否,No,6,PayPal,每两周
2174,23,男,手套,配饰,97,Delaware,S,青色,夏,5.0,否,两日达,否,No,36,Venmo,每季
2175,42,男,双肩包,配饰,49,Colorado,S,橄榄绿,春,2.9,否,门店自提,否,No,1,现金,每年
2176,68,男,连衣裙,服装,50,Nebraska,M,银色,春,3.3,否,包邮,否,No,48,信用卡,每两周
2177,24,男,腰带,配饰,91,Vermont,S,红色,冬,3.4,否,两日达,否,No,44,借记卡,每季
2178,24,男,手套,配饰,93,Montana,XL,绿色,冬,3.0,否,快递,否,No,9,PayPal,双周
2179,21,男,首饰,配饰,98,Florida,M,金色,夏,4.7,否,标准快递,否,No,32,Venmo,每年
2180,49,男,袜子,服装,82,Delaware,L,薰衣草紫,秋,2.9,否,次日达,否,No,14,PayPal,每月
2181,41,男,大衣,外套,37,Connecticut,M,黄色,夏,4.1,否,门店自提,否,No,43,现金,每季
2182,22,男,手提包,配饰,63,Hawaii,M,黑色,秋,3.2,否,包邮,否,No,32,银行转账,双周
2183,42,男,女式衬衫,服装,99,New Mexico,M,栗色,冬,2.7,否,门店自提,否,No,26,Venmo,双周
2184,30,男,短裤,服装,37,Kansas,M,栗色,春,4.7,否,门店自提,否,No,2,现金,每月
2185,38,男,鞋子,鞋履,34,Nevada,S,金色,春,3.2,否,包邮,否,No,16,PayPal,每三个月
2186,40,男,短裤,服装,32,North Carolina,M,紫罗兰色,冬,2.5,否,快递,否,No,50,借记卡,每三个月
2187,55,男,凉鞋,鞋履,23,New Mexico,XL,青绿色,冬,4.3,否,次日达,否,No,6,PayPal,每三个月
2188,37,男,女式衬衫,服装,78,Idaho,M,紫罗兰色,春,4.4,否,包邮,否,No,20,PayPal,每年
2189,41,男,大衣,外套,54,California,M,棕色,冬,4.7,否,次日达,否,No,9,信用卡,每周
2190,38,男,女式衬衫,服装,94,Wisconsin,XL,棕色,秋,4.0,否,快递,否,No,47,信用卡,双周
2191,42,男,腰带,配饰,75,Alaska,S,栗色,春,4.6,否,快递,否,No,33,信用卡,每年
